,date,products_sold,price,trends
0,2014-10-22,153,204.48,74
1,2014-10-23,150,199.56,74
2,2014-10-24,162,190.04,74
3,2014-10-25,144,194.46,74
4,2014-10-26,168,198.17,74
5,2014-10-27,169,184.14,74
6,2014-10-28,159,188.66,74
7,2014-10-29,151,181.11,74
8,2014-10-30,137,190.63,74
9,2014-10-31,159,196.31,74
10,2014-11-01,142,195.05,74
11,2014-11-02,148,179.93,74
12,2014-11-03,150,202.33,74
13,2014-11-04,155,179.31,74
14,2014-11-05,142,180.7,74
15,2014-11-06,160,180.84,74
16,2014-11-07,139,180.69,74
17,2014-11-08,142,184.97,74
18,2014-11-09,139,182.75,74
19,2014-11-10,152,176.59,74
20,2014-11-11,133,172.06,74
21,2014-11-12,143,185.73,74
22,2014-11-13,143,172.53,74
23,2014-11-14,136,176.88,74
24,2014-11-15,135,181.49,74
25,2014-11-16,127,181.06,74
26,2014-11-17,146,174.02,74
27,2014-11-18,150,191.93,70
28,2014-11-19,137,181.5,70
29,2014-11-20,157,189.17,70
30,2014-11-21,131,177.19,70
31,2014-11-22,134,178.31,70
32,2014-11-23,145,177.8,70
33,2014-11-24,149,175.48,70
34,2014-11-25,148,178.95,70
35,2014-11-26,147,180.51,70
36,2014-11-27,144,193.19,70
37,2014-11-28,134,183.46,70
38,2014-11-29,148,174.4,70
39,2014-11-30,138,188.18,70
40,2014-12-01,147,193.22,70
41,2014-12-02,150,173.46,70
42,2014-12-03,150,194.65,70
43,2014-12-04,134,171.86,70
44,2014-12-05,143,170.7,70
45,2014-12-06,140,186.64,70
46,2014-12-07,146,181.67,70
47,2014-12-08,132,165.34,70
48,2014-12-09,141,179.74,70
49,2014-12-10,130,179.08,70
50,2014-12-11,160,180.66,70
51,2014-12-12,139,193.51,70
52,2014-12-13,133,166.05,70
53,2014-12-14,140,170.42,70
54,2014-12-15,142,170.51,70
55,2014-12-16,142,168.12,70
56,2014-12-17,139,171.28,70
57,2014-12-18,128,164.86,71
58,2014-12-19,127,157.07,71
59,2014-12-20,136,153.3,71
60,2014-12-21,119,155.43,71
61,2014-12-22,104,166.21,71
62,2014-12-23,124,168.6,71
63,2014-12-24,130,182.73,71
64,2014-12-25,114,169.05,71
65,2014-12-26,118,161.62,71
66,2014-12-27,133,168.75,71
67,2014-12-28,125,181.52,71
68,2014-12-29,131,175.61,71
69,2014-12-30,145,169.02,71
70,2014-12-31,116,166.01,71
71,2015-01-01,114,166.35,71
72,2015-01-02,137,163.5,71
73,2015-01-03,129,169.5,71
74,2015-01-04,116,157.7,71
75,2015-01-05,122,175.38,71
76,2015-01-06,134,166.7,71
77,2015-01-07,139,163.97,71
78,2015-01-08,148,153.57,71
79,2015-01-09,129,167.3,71
80,2015-01-10,136,160.45,71
81,2015-01-11,131,177.91,71
82,2015-01-12,142,191.24,71
83,2015-01-13,139,189.33,71
84,2015-01-14,146,177.88,71
85,2015-01-15,134,174.53,71
86,2015-01-16,141,171.95,71
87,2015-01-17,131,162.62,71
88,2015-01-18,114,161.25,61
89,2015-01-19,134,170.86,61
90,2015-01-20,141,178.76,61
91,2015-01-21,130,182.11,61
92,2015-01-22,138,162.18,61
93,2015-01-23,134,176.89,61
94,2015-01-24,128,172.42,61
95,2015-01-25,142,170.85,61
96,2015-01-26,141,182.62,61
97,2015-01-27,132,158.73,61
98,2015-01-28,138,163.82,61
99,2015-01-29,125,176.71,61
100,2015-01-30,127,162.98,61
101,2015-01-31,121,165.38,61
102,2015-02-01,113,191.47,61
103,2015-02-02,120,159.64,61
104,2015-02-03,117,153.76,61
105,2015-02-04,134,170.09,61
106,2015-02-05,134,183.47,61
107,2015-02-06,140,180.05,61
108,2015-02-07,136,176.62,61
109,2015-02-08,122,168.5,61
110,2015-02-09,137,166.26,61
