,date,products_sold,price,trends
0,2014-10-23,172,242.25,61
1,2014-10-24,172,241.76,61
2,2014-10-25,172,241.92,61
3,2014-10-26,172,242.19,61
4,2014-10-27,172,241.62,61
5,2014-10-28,172,241.79,61
6,2014-10-29,172,242.01,61
7,2014-10-30,171,241.56,61
8,2014-10-31,172,241.74,61
9,2014-11-01,172,241.82,61
10,2014-11-02,171,241.41,61
11,2014-11-03,172,241.71,61
12,2014-11-04,172,241.63,61
13,2014-11-05,171,241.19,61
14,2014-11-06,172,241.69,61
15,2014-11-07,171,241.37,61
16,2014-11-08,171,241.12,61
17,2014-11-09,172,241.44,61
18,2014-11-10,171,241.14,61
19,2014-11-11,171,240.86,61
20,2014-11-12,171,241.34,61
21,2014-11-13,171,240.64,61
22,2014-11-14,171,240.88,61
23,2014-11-15,171,241.22,61
24,2014-11-16,171,240.52,61
25,2014-11-17,171,240.59,61
26,2014-11-18,171,240.91,61
27,2014-11-19,170,240.29,79
28,2014-11-20,171,240.56,79
29,2014-11-21,170,240.49,79
30,2014-11-22,170,239.93,79
31,2014-11-23,170,240.43,79
32,2014-11-24,170,240.17,79
33,2014-11-25,170,239.84,79
34,2014-11-26,170,240.22,79
35,2014-11-27,170,239.76,79
36,2014-11-28,170,239.59,79
37,2014-11-29,170,239.95,79
38,2014-11-30,170,239.49,79
39,2014-12-01,169,239.36,79
40,2014-12-02,170,239.64,79
41,2014-12-03,169,239.11,79
42,2014-12-04,169,239.04,79
43,2014-12-05,169,239.25,79
44,2014-12-06,169,238.78,79
45,2014-12-07,169,238.98,79
46,2014-12-08,169,239.0,79
47,2014-12-09,168,238.42,79
48,2014-12-10,169,238.76,79
49,2014-12-11,168,238.55,79
50,2014-12-12,168,238.23,79
51,2014-12-13,169,238.49,79
52,2014-12-14,168,238.25,79
53,2014-12-15,168,237.93,79
54,2014-12-16,168,238.18,79
55,2014-12-17,168,237.88,79
56,2014-12-18,168,237.61,79
57,2014-12-19,168,237.75,100
58,2014-12-20,167,237.32,100
59,2014-12-21,167,237.33,100
60,2014-12-22,167,237.44,100
61,2014-12-23,167,236.92,100
62,2014-12-24,167,237.02,100
63,2014-12-25,167,237.22,100
64,2014-12-26,167,236.5,100
65,2014-12-27,167,236.72,100
66,2014-12-28,167,236.72,100
67,2014-12-29,166,236.18,100
68,2014-12-30,166,236.29,100
69,2014-12-31,166,236.22,100
70,2015-01-01,166,235.87,100
71,2015-01-02,166,236.19,100
72,2015-01-03,166,235.73,100
73,2015-01-04,166,235.5,100
74,2015-01-05,166,235.92,100
75,2015-01-06,165,235.42,100
76,2015-01-07,165,235.21,100
77,2015-01-08,166,235.31,100
78,2015-01-09,165,234.84,100
79,2015-01-10,165,234.8,100
80,2015-01-11,165,234.94,100
81,2015-01-12,164,234.57,100
82,2015-01-13,164,234.41,100
