,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
0,10107,30.0,95.7,2.0,2871.0,2014-01-01,Shipped,1.0,2.0,2003.0,Motorcycles,95.0,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small
1,10121,34.0,81.35,5.0,2765.9,2014-01-02,Shipped,2.0,5.0,2003.0,Motorcycles,95.0,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
2,10134,41.0,94.74,2.0,3884.34,2014-01-03,Shipped,3.0,7.0,2003.0,Motorcycles,95.0,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
3,10145,45.0,83.26,6.0,3746.7,2014-01-04,Shipped,3.0,8.0,2003.0,Motorcycles,95.0,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium
4,10159,49.0,100.0,14.0,5205.27,2014-01-05,Shipped,4.0,10.0,2003.0,Motorcycles,95.0,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium
5,10168,36.0,96.66,1.0,3479.76,2014-01-06,Shipped,4.0,10.0,2003.0,Motorcycles,95.0,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium
6,"10180,29,86.13,9,2497.77,11/11/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,""184, chausse de Tournai"",,Lille,,59000,France,EMEA,Rance,Martine,Small",,,,,2014-01-07,,,,,,,,,,,,,,,,,,,
7,"10188,48,100,1,5512.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,""Drammen 121, PR 744 Sentrum"",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium",,,,,2014-01-08,,,,,,,,,,,,,,,,,,,
8,10201,22.0,98.57,2.0,2168.54,2014-01-09,Shipped,4.0,12.0,2003.0,Motorcycles,95.0,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small
9,"10211,41,100,14,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,""25, rue Lauriston"",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium",,,,,2014-01-10,,,,,,,,,,,,,,,,,,,
10,"10223,37,100,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,S10_1678,""Australian Collectors, Co."",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium",,,,,2014-01-11,,,,,,,,,,,,,,,,,,,
11,10237,23.0,100.0,7.0,2333.12,2014-01-12,Shipped,2.0,4.0,2004.0,Motorcycles,95.0,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Small
